,0,1,2,3,4
920,Dynamic Programming,,,,
921,Stack,Greedy,,,
922,Arrays,Sort,,,
923,Two Pointers,,,,
924,Depth First Search,Union Find,,,
925,Two Pointers,String,,,
926,Arrays,,,,
927,Math,Binary Search,Greedy,,
928,Depth First Search,Union Find,Graph,,
929,String,,,,
930,Hash Table,Two Pointers,,,
931,Dynamic Programming,,,,
932,Divide and Conquer,,,,
933,Queue,,,,
934,Depth First Search,Breadth First Search,,,
935,Dynamic Programming,,,,
936,String,Greedy,,,
937,String,,,,
938,Tree,Depth First Search,Recursion,,
939,Hash Table,,,,
940,Dynamic Programming,,,,
941,Arrays,,,,
942,Math,,,,
943,Dynamic Programming,,,,
944,Greedy,,,,
945,Arrays,,,,
946,Stack,,,,
947,Depth First Search,Union Find,,,
948,Two Pointers,Greedy,Sort,,
949,Math,,,,
950,Arrays,,,,
951,Tree,,,,
952,Math,Union Find,,,
953,Hash Table,,,,
954,Arrays,Hash Table,,,
955,Greedy,,,,
956,Dynamic Programming,,,,
957,Hash Table,,,,
958,Tree,,,,
959,Depth First Search,Union Find,Graph,,
960,Dynamic Programming,,,,
961,Hash Table,,,,
962,Arrays,,,,
963,Math,Geometry,,,
964,Math,Dynamic Programming,,,
965,Tree,,,,
966,Hash Table,String,,,
967,Depth First Search,Breadth First Search,,,
968,Dynamic Programming,Tree,Depth First Search,,
969,Arrays,Sort,,,
970,Hash Table,Math,,,
971,Tree,Depth First Search,,,
972,Math,,,,
973,Divide and Conquer,Heap,Sort,,
974,Arrays,Hash Table,,,
975,Dynamic Programming,Stack,Ordered Map,,
976,Math,Sort,,,
977,Arrays,Two Pointers,,,
978,Arrays,Dynamic Programming,Sliding Window,,
979,Tree,Depth First Search,,,
980,Backtracking,Depth First Search,,,
981,Hash Table,Binary Search,,,
982,Dynamic Programming,,,,
983,Dynamic Programming,,,,
984,Greedy,,,,
985,Arrays,,,,
986,Two Pointers,,,,
987,Hash Table,Tree,,,
988,Tree,Depth First Search,,,
989,Arrays,,,,
990,Union Find,Graph,,,
991,Math,Greedy,,,
992,Hash Table,Two Pointers,Sliding Window,,
993,Tree,Breadth First Search,,,
994,Breadth First Search,,,,
995,Greedy,Sliding Window,,,
996,Math,Backtracking,Graph,,
997,Graph,,,,
998,Tree,,,,
999,Arrays,,,,
1000,Dynamic Programming,,,,
1001,Hash Table,,,,
1002,Arrays,Hash Table,,,
1003,String,Stack,,,
1004,Two Pointers,Sliding Window,,,
1005,Greedy,,,,
1006,Math,,,,
1007,Arrays,Greedy,,,
1008,Tree,,,,
1009,Math,,,,
1010,Arrays,,,,
1011,Arrays,Binary Search,,,
1012,Math,Dynamic Programming,,,
1013,Arrays,,,,
1014,Arrays,,,,
1015,Math,,,,
1016,String,,,,
1017,Math,,,,
1018,Arrays,,,,
1019,Linked Lists,Stack,,,
1020,Depth First Search,,,,
1021,Stack,,,,
1022,Tree,,,,
1023,String,Trie,,,
1024,Dynamic Programming,,,,
1025,Math,Dynamic Programming,,,
1026,Tree,Depth First Search,,,
